OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent,isRTO
2545937,947113,260,MPD                 ,Kurigram,android,normal,0,6/17/2019 13:43,6/17/2019 8:00,Yes,Yes,No
2545932,949392,250,MPD                 ,Dhaka (Outside City),android,normal,55,6/17/2019 13:42,6/17/2019 11:07,No,No,No
2545931,947113,260,MPD                 ,Kurigram,android,normal,0,6/17/2019 13:41,6/17/2019 8:00,Yes,Yes,No
2545930,957085,250,MPD                 ,Sunamganj,mobile-site,normal,65,6/17/2019 13:39,6/17/2019 7:43,No,Yes,No
2545923,920672,214,MPD                 ,Noakhali,android,normal,25,6/17/2019 13:37,6/17/2019 7:49,Yes,No,No
2545922,920672,299,MPD                 ,Noakhali,android,normal,25,6/17/2019 13:37,6/17/2019 7:49,Yes,No,No
2545921,920672,170,MPD                 ,Noakhali,android,normal,25,6/17/2019 13:37,6/17/2019 7:49,Yes,No,No
2545915,507080,140,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:33,6/17/2019 7:32,No,Yes,No
2545913,918784,250,MPD                 ,Gopalganj,android,normal,55,6/17/2019 13:32,6/17/2019 8:27,Yes,Yes,No
2545912,943550,349,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:32,6/17/2019 7:31,No,Yes,Yes
2545911,947113,1999,MPD                 ,Kurigram,android,normal,55,6/17/2019 13:31,6/17/2019 8:00,Yes,No,No
2545910,948523,120,MPD                 ,Madaripur,android,normal,55,6/17/2019 13:30,6/17/2019 7:36,No,Yes,No
2545909,651125,320,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:30,6/17/2019 7:29,Yes,Yes,No
2545908,921967,194,MPD                 ,Chandpur,android,normal,55,6/17/2019 13:28,6/17/2019 7:40,No,Yes,No
2545907,909886,550,MPD                 ,Moulvibazar,android,normal,55,6/17/2019 13:28,6/17/2019 8:57,No,No,No
2545896,503532,120,ADC                 ,Dhaka,android,normal,25,6/17/2019 13:23,6/17/2019 10:52,No,No,No
2545892,954563,550,MPD                 ,Mymensingh,android,normal,55,6/17/2019 13:22,6/18/2019 5:26,No,No,No
2545891,791417,429,MPS                 ,Gazipur,android,normal,0,6/17/2019 13:22,6/17/2019 8:03,Yes,No,No
2545888,911462,350,MPD                 ,Dhaka,mobile-site,normal,35,6/17/2019 13:21,6/17/2019 7:21,No,No,No
2545885,957072,432,MPD                 ,Sirajganj,android,normal,55,6/17/2019 13:19,6/17/2019 14:57,No,No,No
2545877,462407,120,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:14,6/17/2019 7:14,No,Yes,Yes
2545872,422589,365,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:12,6/17/2019 7:12,No,No,Yes
2545871,499585,140,MPD                 ,Dhaka,android,normal,0,6/17/2019 13:11,6/17/2019 7:11,Yes,Yes,No
2545870,499585,140,MPD                 ,Dhaka,android,normal,0,6/17/2019 13:11,6/17/2019 7:11,Yes,Yes,No
2545869,499585,120,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:11,6/17/2019 7:11,Yes,Yes,No
2545868,954076,200,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:11,6/17/2019 7:17,No,No,Yes
2545863,378825,1450,MPD                 ,Madaripur,android,normal,55,6/17/2019 13:10,6/18/2019 5:29,No,No,No
2545861,928607,130,MPS                 ,Dinajpur,android,normal,0,6/17/2019 13:09,6/17/2019 7:17,Yes,Yes,No
2545860,928607,130,MPS                 ,Dinajpur,android,normal,25,6/17/2019 13:09,6/17/2019 7:17,Yes,Yes,No
2545854,318453,140,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:08,6/17/2019 7:08,No,Yes,No
2545853,436121,248,ADC                 ,Dhaka,android,normal,25,6/17/2019 13:06,6/17/2019 7:55,No,No,No
2545852,64487,349,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:04,6/17/2019 7:04,Yes,Yes,No
2545850,949816,120,MPD                 ,Dhaka,android,normal,0,6/17/2019 13:04,6/17/2019 7:16,Yes,Yes,No
2545849,949816,185,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:04,6/17/2019 7:16,Yes,Yes,No
2545848,554254,0,MPD                 ,Dhaka,android,normal,0,6/17/2019 13:03,6/17/2019 7:21,Yes,Yes,No
2545847,554254,200,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:03,6/17/2019 7:21,Yes,Yes,No
2545846,99189,602,MPD                 ,Dhaka,desktop,normal,0,6/17/2019 13:02,6/17/2019 7:01,Yes,No,No
2545845,99189,378,MPD                 ,Dhaka,desktop,normal,0,6/17/2019 13:02,6/17/2019 7:01,Yes,No,No
2545841,64487,540,MPD                 ,Dhaka,android,normal,0,6/17/2019 13:01,6/17/2019 7:00,Yes,No,No
2545840,64487,455,MPD                 ,Dhaka,android,normal,25,6/17/2019 13:01,6/17/2019 7:00,Yes,No,Yes
2545837,715611,399,MPD                 ,Bhola,android,normal,55,6/17/2019 12:57,6/17/2019 10:24,No,No,No
2545819,826522,160,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:49,6/17/2019 6:48,No,No,Yes
2545818,278314,165,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:49,6/17/2019 6:48,No,No,No
2545817,955046,120,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:48,6/17/2019 9:36,Yes,Yes,Yes
2545814,894899,250,MPD                 ,Mymensingh,android,normal,55,6/17/2019 12:48,6/17/2019 6:48,No,Yes,No
2545810,894899,199,MPD                 ,Mymensingh,android,normal,55,6/17/2019 12:48,6/17/2019 6:47,No,Yes,No
2545803,808823,99,ADC                 ,Gazipur,byphone,,0,6/17/2019 6:45,6/17/2019 6:45,Yes,Yes,No
2545801,894899,199,MPD                 ,Mymensingh,android,normal,55,6/17/2019 12:44,6/17/2019 6:44,No,Yes,No
2545799,950291,202,MPD                 ,Rajshahi City,android,normal,55,6/17/2019 12:43,6/18/2019 6:23,No,No,No
2545798,678254,159,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:42,6/17/2019 6:42,No,No,Yes
2545782,957045,230,MPD                 ,Narsingdi,android,normal,55,6/17/2019 12:36,6/17/2019 9:45,No,Yes,No
2545780,952003,245,MPD                 ,Dhaka,android,normal,25,6/17/2019 12:36,6/17/2019 8:24,No,No,Yes
2545779,951564,120,MPS                 ,Dhaka,android,normal,0,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
2545778,951564,170,MPS                 ,Dhaka,android,normal,0,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
2545776,951564,120,MPS                 ,Dhaka,android,normal,0,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
2545775,951564,460,MPS                 ,Dhaka,android,normal,0,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
2545774,951564,134,MPS                 ,Dhaka,android,normal,0,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
2545773,951564,99,MPS                 ,Dhaka,android,normal,0,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
2545772,951564,116,MPS                 ,Dhaka,android,normal,25,6/17/2019 12:33,6/17/2019 6:39,Yes,Yes,No
